fecha	cols	rows	min_gain_to_split	max_depth	max_bin	seed	extra_trees	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	lambda_l1	lambda_l2	bagging_fraction	num_iterations	rmse_validate	rmse_test	ganancia	iteracion_bayesiana
20251207 212141	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0101913189541467	0.367016514992545	946	5	4.42318072967129	0.00624821459255916	0.961080939227467	241	38.8282841535468	78.6610266051574	78.6610266051574	59
20251207 212203	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.193492449199716	0.70515775892062	981	41	0.0797892800774853	0.0638035820793308	0.837097066765128	197	48.0051173308165	62.6112882068122	62.6112882068122	60
20251207 212303	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0108624115273463	0.316791452772445	313	10	4.8033523273517	9.67718058904083	0.687924063629763	1156	43.0436937418789	69.6697953825195	69.6697953825195	61
20251207 212502	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0129204623086795	0.877771700190193	243	40	2.94923471618386	0.0168756858382562	0.996531232756517	2115	55.6671648258695	69.1868077016837	69.1868077016837	62
20251207 212559	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0511138578107562	0.897670248795641	1118	37	0.130869489749235	9.98531356702525	0.605764202566739	547	41.4052243601696	58.605183283435	58.605183283435	63
20251207 213251	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0138209937102278	0.896023467697436	323	78	4.7122001159761	8.57025357825795	0.612617512257686	13295	45.3615328020571	68.6001035510856	68.6001035510856	64
20251207 213448	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0101456001347562	0.899738075434482	75	34	4.98572612156939	9.95534649799575	0.665052483457288	2143	44.3141668666467	61.3499025982361	61.3499025982361	65
20251207 213701	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0102186131813228	0.884913299243159	1017	37	2.13846219149344	9.9551411309113	0.728645823069644	2557	41.356631009381	59.0813887414443	59.0813887414443	66
20251207 213802	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0102971380502031	0.450164583992319	272	35	3.37877973980833	9.99753300911824	0.60427700731065	2301	39.3042396612968	67.7608952309979	67.7608952309979	67
20251207 213828	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.101076154007409	0.879481281008067	1028	34	4.87262293177469	9.99981826363615	0.611943656428992	239	45.5030670673601	64.2052669164627	64.2052669164627	68
20251207 213854	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0740535764426123	0.869267701996458	904	34	0.357295590652287	9.98995108393258	0.755269359093071	270	43.31970379858	60.7325649518316	60.7325649518316	69
20251207 214035	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0115526054740227	0.899054879750731	705	22	3.5744347916042	9.63707622632901	0.605567133686047	1435	45.2891322153482	61.3425607672898	61.3425607672898	70
20251207 214227	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0106357501106387	0.896045633127742	476	38	4.46139508353843	5.03690824798201	0.6202434861494	1942	45.2740368240211	59.2196885214852	59.2196885214852	71
20251207 214245	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.174168373279516	0.898652556119942	621	68	4.98263370900506	1.69862813143778	0.660303376108478	166	52.2314175726546	61.2341765088552	61.2341765088552	72
20251207 214426	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0137558424151336	0.898899145171383	719	41	1.23991324956565	9.22426335307916	0.602768210547523	1648	46.1589171429543	60.7161196105255	60.7161196105255	73
20251207 214444	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.153475611961363	0.898366478491148	166	83	4.94659056922136	0.730552710950561	0.809578408736217	319	54.7595995797142	77.480372533686	77.480372533686	74
20251207 214547	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0100047544436004	0.32274835796531	377	22	4.93465695156601	9.76151060284687	0.991812989945978	2859	40.8772270252138	70.2350773592419	70.2350773592419	75
20251207 214616	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0556234864384993	0.899666055894209	721	66	4.97253081193329	5.6546216582964	0.681896244587309	521	49.910154903391	68.7943838944073	68.7943838944073	76
20251207 214631	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.198640364461564	0.861537130928745	367	38	4.99431372963732	0.526717598033137	0.686817736884601	102	43.447540150902	65.4478647007273	65.4478647007273	77
